90045 silly lifecycle process-nextick-args@1.0.3~preinstall: no script for preinstall, continuing
90974 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/npmconf/node_modules/nopt
90975 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/npmconf/node_modules/once/node_modules/wrappy
90976 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/npmconf/node_modules/once
90977 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/npmconf/node_modules/osenv
90978 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/osenv
90979 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/plist/node_modules/base64-js
90980 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/plist/node_modules/util-deprecate
90981 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/plist/node_modules/xmlbuilder/node_modules/lodash-node
90982 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/plist/node_modules/xmlbuilder
90983 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/plist/node_modules/xmldom
90984 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/plist
90985 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/properties-parser
90986 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/rc/node_modules/deep-extend
90987 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/rc/node_modules/ini
90988 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/rc/node_modules/minimist
90989 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/rc/node_modules/strip-json-comments
90990 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/rc
90991 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/aws-sign2
90992 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/bl/node_modules/readable-stream/node_modules/core-util-is
90993 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/bl/node_modules/readable-stream/node_modules/inherits
90994 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/bl/node_modules/readable-stream/node_modules/isarray
90995 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/bl/node_modules/readable-stream/node_modules/string_decoder
90996 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/bl/node_modules/readable-stream
90997 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/bl
90998 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/caseless
90999 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/combined-stream/node_modules/delayed-stream
91000 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/combined-stream
91001 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/forever-agent
91002 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/hawk/node_modules/hoek
91003 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/hawk/node_modules/boom
91004 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/hawk/node_modules/cryptiles
91005 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/hawk/node_modules/sntp
91006 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/hawk
91007 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/http-signature/node_modules/asn1
91008 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/http-signature/node_modules/assert-plus
91009 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/http-signature/node_modules/ctype
91010 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/http-signature
91011 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/json-stringify-safe
91012 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/mime-types
91013 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/node-uuid
91014 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/oauth-sign
91015 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/qs
91016 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/stringstream
91017 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/tough-cookie
91018 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request/node_modules/tunnel-agent
91019 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/request
91020 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/semver
91021 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/npmconf
91022 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/init-package-json/node_modules/read-package-json/node_modules/normalize-package-data
91023 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/init-package-json/node_modules/read-package-json
91024 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/init-package-json
91025 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/shelljs
91026 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/graceful-fs
91027 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/mkdirp/node_modules/minimist
91028 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/mkdirp
91029 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/inflight/node_modules/wrappy
91030 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules/balanced-match
91031 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules/concat-map
91032 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion
91033 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/minimatch
91034 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/once/node_modules/wrappy
91035 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/once
91036 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/inflight
91037 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob/node_modules/path-is-absolute
91038 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/inherits
91039 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf/node_modules/glob
91040 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream/node_modules/rimraf
91041 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/fstream
91042 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar/node_modules/block-stream
91043 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/tar
91044 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2/node_modules/readable-stream/node_modules/core-util-is
91045 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2/node_modules/readable-stream/node_modules/inherits
91046 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2/node_modules/readable-stream/node_modules/isarray
91047 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2/node_modules/readable-stream/node_modules/string_decoder
91048 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2/node_modules/readable-stream
91049 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2/node_modules/xtend
91050 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/through2
91051 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/unorm
91052 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/valid-identifier
91053 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/xcode/node_modules/node-uuid
91054 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/xcode/node_modules/pegjs
91055 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/ionic-cordova-lib/node_modules/xcode
91056 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/end-of-stream/node_modules/once/node_modules/wrappy
91057 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/end-of-stream/node_modules/once
91058 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/end-of-stream
91059 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream/node_modules/core-util-is
91060 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream/node_modules/inherits
91061 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream/node_modules/isarray
91062 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream/node_modules/process-nextick-args
91063 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream/node_modules/string_decoder
91064 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream/node_modules/util-deprecate
91065 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify/node_modules/readable-stream
91066 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/duplexify
91067 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob/node_modules/inflight/node_modules/wrappy
91068 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob/node_modules/inherits
91069 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob/node_modules/once/node_modules/wrappy
91070 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob/node_modules/once
91071 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob/node_modules/inflight
91072 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob2base/node_modules/find-index
91073 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob2base
91074 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/minimatch/node_modules/brace-expansion/node_modules/balanced-match
91075 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/minimatch/node_modules/brace-expansion/node_modules/concat-map
91076 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/minimatch/node_modules/brace-expansion
91077 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/minimatch
91078 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob
91079 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/ordered-read-streams
91080 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream/node_modules/core-util-is
91081 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream/node_modules/inherits
91082 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream/node_modules/isarray
91083 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream/node_modules/process-nextick-args
91084 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream/node_modules/string_decoder
91085 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream/node_modules/util-deprecate
91086 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2/node_modules/readable-stream
91087 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/xtend
91088 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter/node_modules/through2
91089 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream/node_modules/through2-filter
91090 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/unique-stream
91091 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/glob/node_modules/graceful-fs
91092 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/glob/node_modules/inherits
91093 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/lodash
91094 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/minimatch/node_modules/lru-cache
91095 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/minimatch/node_modules/sigmund
91096 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/minimatch
91097 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule/node_modules/glob
91098 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze/node_modules/globule
91099 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher/node_modules/gaze
91100 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-watcher
91101 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/graceful-fs
91102 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/mkdirp/node_modules/minimist
91103 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/mkdirp
91104 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/object-assign
91105 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/strip-bom/node_modules/first-chunk-stream
91106 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/strip-bom/node_modules/is-utf8
91107 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/strip-bom
91108 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2/node_modules/readable-stream/node_modules/core-util-is
91109 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2/node_modules/readable-stream/node_modules/inherits
91110 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2/node_modules/readable-stream/node_modules/isarray
91111 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2/node_modules/readable-stream/node_modules/string_decoder
91112 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2/node_modules/readable-stream
91113 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2/node_modules/xtend
91114 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/through2
91115 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/merge-stream
91116 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/glob-stream
91117 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/vinyl/node_modules/clone
91118 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/vinyl/node_modules/clone-stats
91119 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs/node_modules/vinyl
91120 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ionic-app-lib/node_modules/vinyl-fs
91121 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/ncp
91122 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/npm
91123 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/after-all/node_modules/once/node_modules/wrappy
91124 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/after-all/node_modules/once
91125 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/after-all
91126 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/console-log-level
91127 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/json-stringify-safe
91128 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/stackman/node_modules/stackback
91129 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic/node_modules/stackman
91130 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/opbeat-ionic
91131 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/open
91132 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/optimist/node_modules/minimist
91133 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/optimist/node_modules/wordwrap
91134 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/optimist
91135 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/progress
91136 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/prompt/node_modules/pkginfo
91137 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/prompt/node_modules/read/node_modules/mute-stream
91138 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/prompt/node_modules/read
91139 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/prompt/node_modules/revalidator
91140 silly finalize /Users/JoyZheng/mobile/node_modules/ionic/node_modules/prompt/node_modules/utile/node_modules/async
